"id","type","mass","i:0","i:1","i:2","v:0","v:1","v:2","f:0","f:1","f:2","radius","Points:0","Points:1","Points:2"
144,1,0.046709,0,0,0,2.9673e-12,-6.8448e-13,7.5412e-13,-6.0027e-11,1.0664e-10,1.8008e-10,0.00719,0.057569,0.083123,0.029948
319,1,0.02923,0,0,0,2.2383e-12,1.1152e-13,-3.0744e-12,5.636e-11,3.1797e-12,7.3669e-11,0.00615,0.066039,0.073867,0.030839
380,1,0.016768,0,0,0,2.3914e-12,4.8989e-13,-3.496e-12,7.2419e-11,-1.2278e-11,8.8676e-11,0.00511,0.062109,0.078396,0.039797
141,1,0.049897,0,0,0,1.4224e-12,2.3497e-13,-1.069e-12,9.4474e-11,7.2419e-11,6.4574e-11,0.00735,0.078256,0.076973,0.027602
332,1,0.026604,0,0,0,6.7936e-13,2.3001e-13,-4.6458e-13,-2.3294e-10,-4.5929e-11,8.8221e-11,0.00596,0.088368,0.081535,0.031828
383,1,0.016088,0,0,0,6.5195e-13,1.6592e-13,-2.522e-13,1.6371e-11,-1.8758e-11,1.1369e-11,0.00504,0.096143,0.075999,0.033589
203,1,0.027828,0,0,0,2.9781e-13,-1.0755e-13,3.2439e-13,-8.6402e-12,1.2164e-11,3.2799e-11,0.00605,0.0056342,0.094334,0.03248
238,1,0.02023,0,0,0,3.8398e-13,-3.2959e-13,1.9709e-13,3.0923e-11,-1.1823e-11,1.2278e-11,0.00544,0.014669,0.088517,0.029243
376,1,0.017365,0,0,0,5.2461e-13,-1.2243e-13,3.3722e-13,-2.2368e-11,-4.8203e-11,-9.0949e-13,0.00517,0.019966,0.095747,0.032895
156,1,0.037795,0,0,0,1.0462e-12,-6.7646e-13,1.2162e-12,-4.7294e-11,-2.9104e-11,4.6384e-11,0.0067,0.039421,0.094766,0.025686
249,1,0.017669,0,0,0,2.7499e-13,-1.9953e-12,1.129e-12,-1.0687e-11,5.9799e-11,4.0927e-12,0.0052,0.040051,0.095166,0.037145
207,1,0.027279,0,0,0,1.1281e-12,-5.2557e-12,4.4752e-12,-1.8218e-11,-4.1268e-11,-6.321e-11,0.00601,0.048134,0.090318,0.032397
258,1,0.014784,0,0,0,7.1274e-13,-1.2913e-13,1.3683e-13,1.2176e-10,-5.5479e-11,-4.3656e-11,0.0049,0.06379,0.095608,0.027224
196,1,0.028946,0,0,0,2.3953e-12,5.8493e-13,2.379e-12,5.1223e-11,-1.4461e-10,-7.0372e-11,0.00613,0.058494,0.094305,0.035815
143,1,0.047492,0,0,0,8.4023e-13,-2.5256e-13,-3.4681e-13,-1.2062e-10,-6.5484e-11,4.7294e-11,0.00723,0.070225,0.087876,0.032277
390,1,0.014248,0,0,0,3.0203e-13,-1.2182e-13,-3.4104e-13,5.1728e-12,-4.3428e-11,2.1373e-11,0.00484,0.079994,0.095499,0.036832
379,1,0.016768,0,0,0,7.2498e-13,-3.0826e-13,-4.6949e-13,-2.8649e-11,-1.0277e-10,-3.638e-11,0.00511,0.080472,0.085741,0.036564
229,1,0.021599,0,0,0,5.8038e-13,5.5714e-13,-2.7997e-13,7.276e-12,4.6157e-11,-5.1443e-11,0.00556,0.09522,0.08617,0.026451
176,1,0.033564,0,0,0,4.6264e-13,1.6071e-13,-2.9356e-13,-6.1391e-11,-7.3669e-11,-4.5361e-11,0.00644,0.093505,0.094306,0.033602
341,1,0.02414,0,0,0,1.7711e-13,3.0259e-13,-4.8259e-14,3.0876e-11,8.7681e-12,7.975e-11,0.00577,0.025852,0.0057135,0.041293
265,1,0.048485,0,0,0,-3.4618e-13,5.8767e-13,3.82e-13,-7.3442e-11,-4.6441e-11,-3.3651e-11,0.00728,0.041378,0.014192,0.039417
336,1,0.024266,0,0,0,-3.8947e-13,3.3884e-14,-3.9027e-13,1.0374e-10,-1.9327e-11,5.6843e-11,0.00578,0.086504,0.013767,0.038617
381,1,0.016572,0,0,0,-7.7372e-14,-1.6372e-13,-4.8229e-13,5.0107e-11,4.5439e-12,1.4403e-11,0.00509,0.094965,0.0044632,0.041103
271,1,0.044597,0,0,0,2.5193e-13,7.8845e-13,2.9223e-13,-2.8422e-13,5.4683e-11,1.1642e-10,0.00708,0.028448,0.018032,0.042778
343,1,0.023641,0,0,0,7.09e-13,-7.8918e-14,-4.1994e-13,9.959e-11,-9.5781e-11,-5.0932e-11,0.00573,0.075426,0.03569,0.040158
322,1,0.028805,0,0,0,7.1073e-13,4.8496e-13,-3.8894e-13,-8.5947e-11,-1.8736e-10,1.819e-11,0.00612,0.070418,0.046675,0.040699
267,1,0.046709,0,0,0,1.8834e-12,4.731e-13,3.1874e-14,3.4902e-11,-7.276e-12,-1.337e-10,0.00719,0.018539,0.087876,0.041674
281,1,0.038992,0,0,0,1.1268e-13,4.7786e-13,-1.266e-12,2.8899e-10,9.4133e-11,1.6644e-10,0.00677,0.07457,0.058068,0.040918
310,1,0.03024,0,0,0,1.6178e-12,-6.8012e-13,-1.0298e-12,9.1973e-11,2.0128e-10,-6.0027e-11,0.00622,0.073249,0.078127,0.039836
300,1,0.033407,0,0,0,7.8739e-13,4.2102e-13,3.5417e-13,-2.0009e-11,5.025e-11,9.2797e-11,0.00643,0.0061373,0.084603,0.039568
337,1,0.024266,0,0,0,9.4676e-13,6.2893e-13,-4.9804e-13,-1.0779e-11,-5.457e-11,-7.5488e-11,0.00578,0.029672,0.09507,0.036628
373,1,0.017669,0,0,0,2.5291e-12,-9.5332e-13,3.728e-12,-1.8872e-11,3.7289e-11,-1.5802e-11,0.0052,0.049031,0.095223,0.041806
302,1,0.033097,0,0,0,2.3423e-12,-4.7707e-13,2.6098e-13,-8.8619e-11,-7.0941e-11,-6.2244e-11,0.00641,0.06945,0.094288,0.042996
355,1,0.020793,0,0,0,-1.2415e-12,-2.2998e-14,1.707e-12,4.4736e-11,3.4561e-11,4.6612e-12,0.00549,0.049498,0.004964,0.040008
308,1,0.031572,0,0,0,-9.9381e-14,-1.8649e-13,-7.8439e-13,-5.5707e-12,2.0009e-11,6.8326e-11,0.00631,0.072801,0.0055648,0.04746
283,1,0.03882,0,0,0,-1.1395e-13,8.294e-14,-4.0085e-13,1.5355e-11,-4.0473e-11,1.0959e-10,0.00676,0.085659,0.0064249,0.047865
331,1,0.026873,0,0,0,2.6485e-13,4.4575e-13,1.6708e-13,7.0486e-12,6.7303e-11,-1.9099e-11,0.00598,0.014043,0.016371,0.042837
277,1,0.041102,0,0,0,4.6057e-13,5.9889e-13,3.3284e-13,-3.3431e-11,9.5497e-12,-1.819e-11,0.00689,0.044388,0.026785,0.043254
371,1,0.018288,0,0,0,-9.6125e-13,6.4105e-13,2.2553e-12,7.185e-11,-8.7539e-12,8.3674e-11,0.00526,0.052941,0.015212,0.042875
312,1,0.030094,0,0,0,1.1262e-12,1.0924e-13,-1.0382e-12,1.7853e-10,9.4587e-11,-7.4124e-11,0.00621,0.071919,0.020733,0.039552
278,1,0.040568,0,0,0,6.9905e-13,9.7969e-14,-3.3701e-13,-2.0458e-10,-5.042e-11,-5.0932e-11,0.00686,0.083508,0.02458,0.043381
352,1,0.021022,0,0,0,6.7175e-13,1.0582e-12,1.0733e-12,1.9895e-11,-4.7976e-11,-3.7289e-11,0.00551,0.014186,0.037763,0.04346
272,1,0.043473,0,0,0,5.4365e-13,9.8415e-13,3.8083e-13,-1.2449e-11,2.7057e-11,-3.4561e-11,0.00702,0.023904,0.030841,0.04598
333,1,0.026204,0,0,0,9.0307e-13,1.1465e-12,4.6214e-13,-5.2864e-11,-4.3087e-11,4.0473e-11,0.00593,0.0314,0.03682,0.038222
389,1,0.014784,0,0,0,9.9968e-13,1.1665e-12,-2.8173e-13,1.819e-12,9.5497e-12,2.5466e-11,0.0049,0.054802,0.03053,0.044956
275,1,0.041461,0,0,0,6.8495e-13,5.5673e-13,-2.5917e-13,1.2199e-10,2.4784e-11,-7.6398e-11,0.00691,0.064141,0.036654,0.044471
296,1,0.034035,0,0,0,8.0915e-13,1.0484e-12,8.8328e-13,-6.3949e-13,6.5938e-11,1.819e-11,0.00647,0.0078274,0.045626,0.038126
289,1,0.035964,0,0,0,2.4356e-12,4.4045e-13,-9.9937e-13,-5.2523e-11,-1.7678e-11,3.8199e-11,0.00659,0.04854,0.048664,0.042985
374,1,0.017669,0,0,0,2.3128e-15,1.9556e-13,-3.2048e-13,2.1009e-10,1.0971e-11,3.1378e-11,0.0052,0.084838,0.044565,0.040503
